Country,Song,Artist,F/SF,Year,Points,R/O,Place,Contest_Location,Jury_1.0,Jury_2.0,Jury_3.0,Jury_4.0,Jury_5.0,Jury_6.0,Jury_7.0,Jury_8.0,Jury_10.0,Jury_12.0
North Macedonia,Od Nas Zavisi,Karolina,Final,2002,25.0,9,19,Tallinn ,Finland,Slovenia,Bosnia & Herzegovina,United Kingdom,Croatia,Estonia,Latvia,Turkey,Malta,Romania
Romania,Tell Me Why,Monica Anghel & Marcel Pavel,Final,2002,71.0,21,9,Tallinn ,Germany,Estonia,Switzerland,France,Israel,Greece,Turkey,Cyprus,Russia,North Macedonia
Russia,Northern Girl,Prime minister,Final,2002,55.0,7,10,Tallinn ,Austria,Germany,Estonia,Lithuania,Malta,Cyprus,Belgium,Greece,Latvia,Romania
Slovenia,Samo Ljubezen,Sestre,Final,2002,33.0,22,13,Tallinn ,Switzerland,Bosnia & Herzegovina,France,Cyprus,Latvia,Estonia,Sweden,United Kingdom,Malta,Croatia
Spain,Europe's Living A Celebration,Rosa,Final,2002,81.0,5,7,Tallinn ,Belgium,Germany,Bosnia & Herzegovina,Turkey,Romania,Cyprus,Slovenia,France,Malta,Latvia
Sweden,Never Let It Go,Afro-dite,Final,2002,72.0,12,8,Tallinn ,Cyprus,United Kingdom,Belgium,Malta,Latvia,Bosnia & Herzegovina,Spain,France,Finland,Estonia
Switzerland,Dans Le Jardin De Mon Âme,Francine Jordi,Final,2002,15.0,11,22,Tallinn ,Israel,Slovenia,Germany,Malta,Croatia,United Kingdom,Austria,Latvia,France,Spain
Turkey,Leylaklar Soldu Kalbinde,Buket Bengisu & Saphire,Final,2002,29.0,19,16,Tallinn ,Denmark,United Kingdom,Germany,Sweden,Malta,Latvia,Romania,Estonia,Belgium,Austria
United Kingdom,Come Back,Jessica Garlick,Final,2002,111.0,2,3,Tallinn ,Sweden,Spain,Cyprus,Belgium,Israel,Slovenia,Estonia,Latvia,France,Malta
Austria,Weil Der Mensch Zählt,Alf Poier,Final,2003,101.0,2,6,Riga ,Germany,Norway,Sweden,Belgium,Croatia,Romania,Bosnia & Herzegovina,Russia,Poland,Turkey
Belgium,Sanomi,Urban Trad,Final,2003,165.0,22,2,Riga ,Ireland,Austria,Iceland,Sweden,Poland,Norway,Russia,Netherlands,Spain,Turkey
Bosnia & Herzegovina,Ne Brini,Mija Martina,Final,2003,27.0,6,16,Riga ,Sweden,Netherlands,Russia,Slovenia,Austria,Croatia,Romania,France,Belgium,Turkey
Croatia,Više isam Tvoja,Claudia Beni,Final,2003,29.0,8,15,Riga ,Romania,Sweden,Slovenia,Ireland,Austria,Iceland,Spain,Bosnia & Herzegovina,Turkey,Russia
Cyprus,Feeling Alive,Stelios Constantas,Final,2003,15.0,9,20,Riga ,Sweden,Romania,Belgium,Austria,Iceland,Spain,Ireland,Turkey,Russia,Greece
Estonia,Eighties Coming Back,Ruffus,Final,2003,14.0,23,21,Riga ,Iceland,Germany,Ukraine,Poland,Latvia,Austria,Sweden,Belgium,Norway,Russia
France,Monts Et Merveilles,Louisa Baileche,Final,2003,19.0,19,18,Riga ,Iceland,Sweden,Norway,Romania,Poland,Portugal,Russia,Israel,Turkey,Belgium
Germany,Let's Get Happy,Lou,Final,2003,53.0,10,11,Riga ,Iceland,Austria,Sweden,Romania,Greece,Belgium,Norway,Russia,Turkey,Poland
Greece,Never Let You Go,Mando,Final,2003,25.0,17,17,Riga ,Croatia,Austria,Israel,Romania,Spain,Poland,Turkey,Belgium,Russia,Cyprus
Iceland,Open Your Heart,Birgitta,Final,2003,81.0,1,8,Riga ,Estonia,Ireland,Turkey,Russia,Sweden,Spain,Belgium,Germany,Austria,Norway
Ireland,We've Got The World,Mickey Harte,Final,2003,53.0,3,11,Riga ,Greece,Portugal,Malta,Germany,Netherlands,Croatia,Iceland,Estonia,Belgium,Norway
Israel,Words For Love,Lior Narkis,Final,2003,17.0,13,19,Riga ,Cyprus,Netherlands,Norway,Ukraine,Sweden,Romania,Turkey,Belgium,Russia,Spain
Latvia,Hello From Mars,F.L.Y.,Final,2003,5.0,21,24,Riga ,Ireland,Germany,Iceland,Austria,Ukraine,Sweden,Norway,Poland,Belgium,Russia
Malta,To Dream Again,Lynn Chirchop,Final,2003,4.0,5,25,Riga ,Russia,Cyprus,Germany,Turkey,Ireland,Norway,Netherlands,Sweden,Poland,Iceland
Netherlands,One More Night,Esther Hart,Final,2003,45.0,14,13,Riga ,Russia,Germany,Sweden,Poland,Spain,Iceland,Norway,Austria,Belgium,Turkey
Norway,I'm Not Afraid To Move On,Jostein Hasselgård,Final,2003,123.0,18,4,Riga ,Romania,Russia,Belgium,Poland,Netherlands,Ireland,Sweden,Austria,Turkey,Iceland
Poland,Keine Grenzen - Zadnych Granic,Ich Troje,Final,2003,90.0,20,7,Riga ,Iceland,Turkey,France,Russia,Germany,Norway,Sweden,Romania,Ukraine,Belgium
Portugal,Deixa-me Sonhar,Rita Guerra,Final,2003,13.0,7,22,Riga ,Malta,France,Sweden,Russia,Norway,Belgium,Ireland,Turkey,Austria,Spain
Romania,Don't Break My Heart,Nicola,Final,2003,73.0,24,10,Riga ,Germany,Greece,Norway,Poland,Spain,France,Russia,Belgium,Turkey,Sweden
Russia,"Ne Ver', Ne Boisia",t.A.T.u.,Final,2003,164.0,11,3,Riga ,Greece,Estonia,Belgium,Norway,Israel,Spain,Germany,Ukraine,Netherlands,Romania
Slovenia,Nanana,Karmen,Final,2003,7.0,26,23,Riga ,Spain,Ireland,Belgium,Iceland,Norway,Sweden,Austria,Croatia,Turkey,Russia
Spain,Dime,Beth,Final,2003,81.0,12,8,Riga ,Israel,Portugal,Turkey,Germany,Poland,Russia,Sweden,Austria,Romania,Belgium
Sweden,Give Me Your Love,Fame,Final,2003,107.0,25,5,Riga ,Romania,Russia,Poland,Spain,Netherlands,Austria,Iceland,Turkey,Germany,Norway
Turkey,Everyway That I Can,Sertab Erener,Final,2003,167.0,4,1,Riga ,Romania,Spain,Croatia,Greece,Ireland,Austria,Belgium,Iceland,Russia,Bosnia & Herzegovina
Ukraine,Hasta La Vista,Olexandr,Final,2003,30.0,16,14,Riga ,Ireland,Turkey,Portugal,Iceland,Sweden,Romania,Norway,Poland,Belgium,Russia
United Kingdom,Cry Baby,Jemini,Final,2003,0.0,15,26,Riga ,Netherlands,Poland,Estonia,Germany,Belgium,Norway,Turkey,Austria,Sweden,Ireland
Albania,The Image Of You,Anjeza Shahini,Final,2004,106.0,9,7,Istanbul ,France,Germany,Malta,Sweden,Ukraine,North Macedonia,Serbia & Montenegro,Turkey,Bosnia & Herzegovina,Greece
Austria,Du Bist,Tie Break,Final,2004,9.0,2,21,Istanbul ,Sweden,Greece,Croatia,Ukraine,Albania,Cyprus,Bosnia & Herzegovina,Turkey,Germany,Serbia & Montenegro
Belgium,1 Life,Xandee,Final,2004,7.0,13,22,Istanbul ,Albania,Sweden,Serbia & Montenegro,Cyprus,Ukraine,Netherlands,Spain,Greece,France,Turkey
Bosnia & Herzegovina,In The Disco,Deen,Final,2004,91.0,12,9,Istanbul ,Malta,Sweden,Germany,Albania,Greece,Ukraine,Turkey,North Macedonia,Croatia,Serbia & Montenegro
Croatia,You Are The Only One,Ivan Mikulic,Final,2004,50.0,11,12,Istanbul ,Germany,Malta,Turkey,Cyprus,North Macedonia,Albania,Greece,Ukraine,Bosnia & Herzegovina,Serbia & Montenegro
Cyprus,Stronger Every Minute,Lisa Andreas,Final,2004,170.0,21,5,Istanbul ,Belgium,Poland,Romania,Turkey,Sweden,Russia,Spain,Ukraine,Serbia & Montenegro,Greece
France,A Chaque Pas,Jonatan Cerrada,Final,2004,40.0,4,15,Istanbul ,Albania,Ukraine,Sweden,Austria,Cyprus,Greece,Germany,Spain,Serbia & Montenegro,Turkey
Germany,Can't Wait Until Tonight,Max,Final,2004,93.0,8,8,Istanbul ,Croatia,Spain,Sweden,Poland,Albania,Ukraine,Greece,Cyprus,Serbia & Montenegro,Turkey
Greece,Shake It,Sakis Rouvas,Final,2004,252.0,16,3,Istanbul ,Malta,Russia,Spain,Poland,Austria,Turkey,Ukraine,Serbia & Montenegro,Albania,Cyprus
Iceland,Heaven,Jónsi,Final,2004,16.0,17,19,Istanbul ,Spain,United Kingdom,Poland,Albania,Turkey,Greece,Serbia & Montenegro,Sweden,Cyprus,Ukraine
Ireland,If My World Stopped Turning,Chris Doran,Final,2004,7.0,18,22,Istanbul ,Turkey,Albania,Serbia & Montenegro,Germany,Greece,Malta,Ukraine,United Kingdom,Cyprus,Sweden
Malta,On Again... Off Again,Julie & Ludwig,Final,2004,50.0,6,12,Istanbul ,North Macedonia,Netherlands,Spain,United Kingdom,Sweden,Serbia & Montenegro,Cyprus,Ukraine,Albania,Greece
Netherlands,Without You,Re-union,Final,2004,11.0,7,20,Istanbul ,Albania,Bosnia & Herzegovina,Germany,Spain,Belgium,Greece,Ukraine,Cyprus,Serbia & Montenegro,Turkey
North Macedonia,Life,Tose Proeski,Final,2004,47.0,15,14,Istanbul ,Spain,Sweden,Malta,Bosnia & Herzegovina,Croatia,Turkey,Greece,Ukraine,Serbia & Montenegro,Albania
Norway,High,Knut Anders Sørum,Final,2004,3.0,3,24,Istanbul ,Germany,Greece,Albania,Cyprus,Iceland,Serbia & Montenegro,Ukraine,Turkey,Bosnia & Herzegovina,Sweden
Poland,Love Song,Blue Cafe,Final,2004,27.0,19,17,Istanbul ,Spain,United Kingdom,Malta,Cyprus,Serbia & Montenegro,Germany,Greece,Turkey,Sweden,Ukraine
Romania,I Admit,Sanda Ladosi,Final,2004,18.0,23,18,Istanbul ,Albania,United Kingdom,Cyprus,Germany,Spain,Ukraine,Sweden,Serbia & Montenegro,Turkey,Greece
Russia,Believe Me,Julia Savicheva,Final,2004,67.0,14,11,Istanbul ,United Kingdom,Iceland,Sweden,France,Croatia,Cyprus,Greece,Turkey,Serbia & Montenegro,Ukraine
Serbia & Montenegro,Lane Moje,Željko Joksimović,Final,2004,263.0,5,2,Istanbul ,Russia,Turkey,Cyprus,Sweden,Croatia,Bosnia & Herzegovina,Greece,Albania,Ukraine,North Macedonia
Spain,Para Llenarme De Ti,Ramón,Final,2004,87.0,1,10,Istanbul ,Poland,Turkey,Cyprus,France,Sweden,Serbia & Montenegro,Greece,Ukraine,Romania,Germany
Sweden,It Hurts,Lena Philipsson,Final,2004,170.0,24,5,Istanbul ,Poland,United Kingdom,Norway,Greece,Turkey,Cyprus,Albania,Bosnia & Herzegovina,Ukraine,Serbia & Montenegro
Turkey,For Real,Athena,Final,2004,195.0,22,4,Istanbul ,Cyprus,Spain,Sweden,North Macedonia,Germany,Albania,Bosnia & Herzegovina,Serbia & Montenegro,Greece,Ukraine
Ukraine,Wild Dances,Ruslana,Final,2004,280.0,10,1,Istanbul ,Malta,Sweden,North Macedonia,Cyprus,Poland,Turkey,Croatia,Greece,Russia,Serbia & Montenegro
United Kingdom,Hold On To Our Love,James Fox,Final,2004,29.0,20,16,Istanbul ,Albania,Malta,Serbia & Montenegro,Germany,Ukraine,Turkey,Ireland,Sweden,Cyprus,Greece
Albania,Tomorrow I Go,Ledina Celo,Final,2005,53.0,8,16,Kyiv ,France,Croatia,Israel,Malta,Romania,Serbia & Montenegro,Cyprus,Turkey,North Macedonia,Greece
Bosnia & Herzegovina,Call Me,Feminnem,Final,2005,79.0,21,14,Kyiv ,Hungary,Romania,Norway,Moldova,Albania,Greece,North Macedonia,Turkey,Serbia & Montenegro,Croatia
Croatia,Vukovi Umiru Sami,Boris Novkovic feat. Lado members,Final,2005,115.0,18,11,Kyiv ,Moldova,Albania,Switzerland,Malta,Greece,Hungary,Latvia,North Macedonia,Bosnia & Herzegovina,Serbia & Montenegro
Cyprus,Ela Ela,Constantinos Christoforou,Final,2005,46.0,9,18,Kyiv ,Latvia,Moldova,Norway,Switzerland,United Kingdom,Malta,Hungary,Romania,Serbia & Montenegro,Greece
Denmark,Talking To You,Jakob Sveistrup,Final,2005,125.0,13,9,Kyiv ,Switzerland,Greece,Romania,Bosnia & Herzegovina,Israel,Latvia,Sweden,Turkey,Malta,Norway
France,Chacun Pense à Soi,Ortal,Final,2005,11.0,24,23,Kyiv ,Albania,Moldova,Hungary,Spain,Romania,Serbia & Montenegro,Malta,Greece,Israel,Turkey
Germany,Run & Hide,Gracia,Final,2005,4.0,17,24,Kyiv ,Moldova,Croatia,Serbia & Montenegro,Switzerland,Israel,Denmark,Latvia,Malta,Turkey,Greece
Greece,My Number One,Helena Paparizou,Final,2005,230.0,19,1,Kyiv ,Latvia,Hungary,Switzerland,Norway,Romania,Serbia & Montenegro,Moldova,Malta,Albania,Cyprus
Hungary,Forogj Világ,NOX,Final,2005,97.0,1,12,Kyiv ,Latvia,Serbia & Montenegro,Switzerland,Moldova,Malta,Denmark,Croatia,Israel,Romania,Greece
Israel,Hasheket Shenish'ar,Shiri Maymon,Final,2005,154.0,11,4,Kyiv ,Norway,Switzerland,Denmark,Moldova,France,Latvia,Greece,Hungary,Malta,Romania
Latvia,The War Is Not Over,Walter & Kazha,Final,2005,153.0,23,5,Kyiv ,Serbia & Montenegro,Israel,Hungary,Denmark,Malta,Norway,Croatia,Moldova,Russia,Switzerland
Malta,Angel,Chiara,Final,2005,192.0,3,2,Kyiv ,Switzerland,Moldova,Denmark,United Kingdom,Norway,Greece,Romania,Israel,Latvia,Cyprus
Moldova,Boonika Bate Doba,Zdob şi Zdub,Final,2005,148.0,7,6,Kyiv ,Serbia & Montenegro,Germany,Norway,Greece,Sweden,Israel,Romania,Ukraine,Russia,Latvia
North Macedonia,Make My Day,Martin Vucic,Final,2005,52.0,15,17,Kyiv ,Hungary,Romania,Bosnia & Herzegovina,Turkey,Moldova,Sweden,Greece,Croatia,Serbia & Montenegro,Albania
Norway,In My Dreams,Wig Wam,Final,2005,125.0,5,9,Kyiv ,Sweden,Croatia,Switzerland,Greece,Israel,Romania,Bosnia & Herzegovina,Latvia,Malta,Denmark
Romania,Let Me Try,Luminita Anghel & Sistem,Final,2005,158.0,4,3,Kyiv ,Cyprus,Malta,Turkey,Denmark,Croatia,Serbia & Montenegro,Israel,Hungary,Greece,Moldova
Russia,Nobody Hurt No One,Natalia Podolskaya,Final,2005,57.0,20,15,Kyiv ,Croatia,Ukraine,Hungary,Greece,Latvia,Serbia & Montenegro,Switzerland,Israel,Moldova,Malta
Serbia & Montenegro,Zauvijek Moja,No Name,Final,2005,137.0,12,7,Kyiv ,Cyprus,Norway,Romania,Bosnia & Herzegovina,Moldova,Hungary,North Macedonia,Albania,Croatia,Greece
Spain,Brujería,Son de sol,Final,2005,28.0,10,21,Kyiv ,Ukraine,Sweden,Norway,Moldova,Hungary,Israel,Malta,Greece,Denmark,Romania
Sweden,Las Vegas,Martin Stenmarck,Final,2005,30.0,14,19,Kyiv ,Israel,Romania,Latvia,Serbia & Montenegro,Switzerland,Malta,Bosnia & Herzegovina,Norway,Denmark,Greece
Switzerland,Cool Vibes,Vanilla Ninja,Final,2005,128.0,22,8,Kyiv ,Israel,North Macedonia,Malta,Spain,Bosnia & Herzegovina,Turkey,Greece,Croatia,Albania,Serbia & Montenegro
Turkey,Rimi Rimi Ley,Gülseren,Final,2005,92.0,6,13,Kyiv ,United Kingdom,Albania,Israel,Romania,North Macedonia,Hungary,Moldova,Malta,Bosnia & Herzegovina,Greece
Ukraine,Razom Nas Bahato,Greenjolly,Final,2005,30.0,16,19,Kyiv ,Latvia,Hungary,Serbia & Montenegro,Russia,Switzerland,Norway,Israel,Croatia,Malta,Moldova
United Kingdom,Touch My Fire,Javine,Final,2005,18.0,2,22,Kyiv ,Turkey,Moldova,Cyprus,Bosnia & Herzegovina,Norway,Latvia,Israel,Denmark,Malta,Greece
Armenia,Without Your Love,André,Final,2006,129.0,24,8,Athens ,Norway,France,Ireland,Romania,Bosnia & Herzegovina,Sweden,North Macedonia,Greece,Ukraine,Russia
Bosnia & Herzegovina,Lejla,Hari Mata Hari,Final,2006,229.0,13,3,Athens ,Greece,Romania,Sweden,Switzerland,Ukraine,Russia,Finland,North Macedonia,Turkey,Croatia
Croatia,Moja štikla,Severina,Final,2006,56.0,20,12,Athens ,United Kingdom,Ireland,Sweden,Ukraine,Romania,Lithuania,Russia,North Macedonia,Finland,Bosnia & Herzegovina
Denmark,Twist Of Love,Sidsel Ben Semmane,Final,2006,26.0,9,18,Athens ,Norway,Russia,Germany,United Kingdom,Ireland,Romania,Lithuania,Bosnia & Herzegovina,Sweden,Finland
Finland,Hard Rock Hallelujah,Lordi,Final,2006,292.0,17,1,Athens ,Greece,Ukraine,Denmark,Ireland,Norway,Romania,Sweden,Lithuania,Bosnia & Herzegovina,Russia
France,Il était Temps,Virginie Pouchin,Final,2006,5.0,19,22,Athens ,Ireland,Russia,Sweden,Israel,Greece,Bosnia & Herzegovina,Romania,Finland,Armenia,Turkey
Germany,"No, No, Never",Texas Lightning,Final,2006,36.0,8,14,Athens ,Lithuania,Croatia,Armenia,Ireland,Romania,Russia,Bosnia & Herzegovina,Greece,Finland,Turkey
Greece,Everything,Anna Vissi,Final,2006,128.0,16,9,Athens ,Moldova,Norway,Turkey,Lithuania,Ukraine,Bosnia & Herzegovina,Romania,Russia,Armenia,Finland
Ireland,Every Song Is A Cry For Love,Brian Kennedy,Final,2006,93.0,21,10,Athens ,Ukraine,Bosnia & Herzegovina,Germany,Latvia,Russia,Romania,Sweden,United Kingdom,Finland,Lithuania
Israel,Ze Hazman,Eddie Butler,Final,2006,4.0,3,23,Athens ,Turkey,Bosnia & Herzegovina,Lithuania,Switzerland,Sweden,Ukraine,Finland,Armenia,Romania,Russia
Latvia,I Hear Your Heart,Cosmos,Final,2006,30.0,4,16,Athens ,United Kingdom,Romania,Germany,Ireland,Ukraine,Norway,Sweden,Finland,Lithuania,Russia
Lithuania,We Are The Winners,LT United,Final,2006,162.0,14,6,Athens ,Romania,Armenia,Greece,Bosnia & Herzegovina,Sweden,Ireland,Ukraine,Latvia,Finland,Russia
Malta,I Do,Fabrizio Faniello,Final,2006,1.0,7,24,Athens ,Lithuania,Ukraine,United Kingdom,Ireland,Russia,Sweden,Finland,Greece,Romania,Switzerland
Moldova,Loca,Arsenium & Natalia Gordienko,Final,2006,22.0,2,20,Athens ,Greece,Sweden,Norway,Lithuania,Bosnia & Herzegovina,Finland,Armenia,Ukraine,Russia,Romania
North Macedonia,Ninanajna,Elena Risteska,Final,2006,56.0,11,12,Athens ,Sweden,Romania,Lithuania,Turkey,Ukraine,Finland,Greece,Russia,Croatia,Bosnia & Herzegovina
Norway,Alvedansen,Christine Guldbrandsen,Final,2006,36.0,5,14,Athens ,Germany,United Kingdom,Russia,Romania,Lithuania,Denmark,Ireland,Bosnia & Herzegovina,Sweden,Finland
Romania,Tornero,Mihai Traistariu,Final,2006,172.0,12,4,Athens ,Armenia,Ireland,Ukraine,Finland,Sweden,Turkey,Bosnia & Herzegovina,Russia,Greece,Moldova
Russia,Never Let You Go,Dima Bilan,Final,2006,248.0,10,2,Athens ,Latvia,Sweden,Moldova,Romania,Lithuania,Bosnia & Herzegovina,Norway,Finland,Ukraine,Armenia
Spain,Bloody Mary,Las Ketchup,Final,2006,18.0,6,21,Athens ,Bosnia & Herzegovina,Moldova,Ukraine,Lithuania,Germany,Sweden,Russia,Armenia,Finland,Romania
Sweden,Invincible,Carola,Final,2006,170.0,22,5,Athens ,Ukraine,Norway,Lithuania,Greece,Ireland,Romania,Russia,Denmark,Bosnia & Herzegovina,Finland
Switzerland,If We All Give A Little,Six4One,Final,2006,30.0,1,16,Athens ,Romania,Sweden,Ireland,North Macedonia,Greece,Croatia,Germany,Finland,Turkey,Bosnia & Herzegovina
Turkey,Superstar,Sibel Tüzün,Final,2006,91.0,23,11,Athens ,Moldova,Croatia,Romania,Greece,Russia,North Macedonia,Finland,Ukraine,Armenia,Bosnia & Herzegovina
Ukraine,Show Me Your Love,Tina Karol,Final,2006,145.0,18,7,Athens ,Romania,Ireland,Norway,Latvia,Lithuania,Sweden,Finland,Armenia,Bosnia & Herzegovina,Russia
United Kingdom,Teenage Life,Daz Sampson,Final,2006,25.0,15,19,Athens ,Russia,Latvia,Turkey,Sweden,Germany,Romania,Greece,Ireland,Lithuania,Finland
Armenia,Anytime You Need,Hayko,Final,2007,138.0,23,8,Helsinki ,Bosnia & Herzegovina,France,Moldova,Bulgaria,Georgia,Ukraine,Serbia,Greece,Belarus,Russia
Belarus,Work Your Magic,Dmitry Koldun,Final,2007,145.0,3,6,Helsinki ,Finland,Lithuania,Greece,Slovenia,Armenia,Georgia,Serbia,Moldova,Ukraine,Russia
Bosnia & Herzegovina,Rijeka Bez Imena,Marija Sestic,Final,2007,106.0,1,11,Helsinki ,Georgia,Russia,Greece,Belarus,Ukraine,Bulgaria,Slovenia,North Macedonia,Turkey,Serbia
Bulgaria,Water,Elitsa Todorova & Stoyan Yankulov,Final,2007,157.0,21,5,Helsinki ,Belarus,Romania,Ukraine,Moldova,Russia,Serbia,Turkey,Armenia,North Macedonia,Greece
Finland,Leave Me Alone,Hanna Pakarinen,Final,2007,53.0,5,17,Helsinki ,Germany,Moldova,Russia,Turkey,Bulgaria,Ukraine,Georgia,Sweden,Hungary,Serbia
France,L'amour à La Française,Les Fatals Picards,Final,2007,19.0,13,22,Helsinki ,Bosnia & Herzegovina,Russia,Greece,Ukraine,Bulgaria,Spain,Romania,Serbia,Armenia,Turkey
Georgia,Visionary Dream,Sopho,Final,2007,97.0,11,12,Helsinki ,North Macedonia,Turkey,Moldova,Greece,Hungary,Serbia,Russia,Belarus,Ukraine,Armenia
Germany,Frauen Regieren Die Welt,Roger Cicero,Final,2007,49.0,16,19,Helsinki ,Finland,Armenia,Bosnia & Herzegovina,Bulgaria,Ukraine,Russia,Hungary,Serbia,Greece,Turkey
Greece,Yassou Maria,Sarbel,Final,2007,139.0,10,7,Helsinki ,Spain,Romania,Georgia,Serbia,Belarus,Armenia,Ukraine,Russia,Moldova,Bulgaria
Hungary,Unsubstantial Blues,Magdi Rúzsa,Final,2007,128.0,8,9,Helsinki ,Turkey,Georgia,Ukraine,Belarus,Moldova,Russia,Greece,Romania,Bulgaria,Serbia
Ireland,They Can't Stop The Spring,Dervish,Final,2007,5.0,4,24,Helsinki ,Georgia,Moldova,Romania,Serbia,Hungary,Russia,United Kingdom,Ukraine,Latvia,Lithuania
Latvia,Questa Notte,Bonaparti.lv,Final,2007,54.0,14,16,Helsinki ,Romania,Bulgaria,Serbia,Slovenia,Hungary,Georgia,Russia,Belarus,Lithuania,Ukraine
Lithuania,Love Or Leave,4Fun,Final,2007,28.0,9,21,Helsinki ,Slovenia,Moldova,France,Hungary,Finland,Russia,Belarus,Ukraine,Latvia,Georgia
Moldova,Fight,Natalia Barbu,Final,2007,109.0,24,10,Helsinki ,Turkey,Armenia,Bulgaria,Georgia,Serbia,Greece,Ukraine,Russia,Belarus,Romania
North Macedonia,Mojot Svet,Karolina,Final,2007,73.0,6,14,Helsinki ,Moldova,Ukraine,Greece,Bosnia & Herzegovina,Russia,Slovenia,Belarus,Bulgaria,Turkey,Serbia
Romania,"Liubi, Liubi, I Love You",Todomondo,Final,2007,84.0,20,13,Helsinki ,Belarus,Latvia,Russia,Ukraine,Bulgaria,Serbia,Turkey,Hungary,Greece,Moldova
Russia,Song # 1,Serebro,Final,2007,207.0,15,3,Helsinki ,Romania,Turkey,Slovenia,Bulgaria,Serbia,Moldova,Georgia,Ukraine,Armenia,Belarus
Serbia,Molitva,Marija Šerifović,Final,2007,268.0,17,1,Helsinki ,Moldova,Belarus,Ukraine,Greece,Slovenia,Bulgaria,Russia,Bosnia & Herzegovina,North Macedonia,Hungary
Slovenia,Cvet Z Juga,Alenka Gotar,Final,2007,66.0,7,15,Helsinki ,Moldova,Georgia,Russia,Ukraine,Hungary,Latvia,Bulgaria,Bosnia & Herzegovina,North Macedonia,Serbia
Spain,I Love You Mi Vida,NASH,Final,2007,43.0,2,20,Helsinki ,Serbia,Greece,Slovenia,Russia,Germany,Moldova,Ukraine,Armenia,Bulgaria,Romania
Sweden,The Worrying Kind,The Ark,Final,2007,51.0,12,18,Helsinki ,Germany,Moldova,Ukraine,Greece,Russia,Bosnia & Herzegovina,Turkey,Hungary,Serbia,Finland
Turkey,Shake It Up Shekerim,Kenan Dogulu,Final,2007,163.0,22,4,Helsinki ,North Macedonia,Romania,Ukraine,Greece,Georgia,Bulgaria,Moldova,Russia,Bosnia & Herzegovina,Armenia
Ukraine,Dancing Lasha Tumbai,Verka Serduchka,Final,2007,235.0,18,2,Helsinki ,Turkey,Romania,Bulgaria,Slovenia,Armenia,Serbia,Moldova,Georgia,Russia,Belarus
United Kingdom,Flying The Flag (for You),Scooch,Final,2007,19.0,19,22,Helsinki ,Germany,Hungary,Lithuania,Latvia,Bulgaria,Russia,Sweden,Ukraine,Greece,Turkey
Albania,Zemrën E Lamë Peng,Olta Boka,Final,2008,55.0,3,17,Belgrade ,Spain,Armenia,Sweden,Israel,Serbia,Russia,Norway,Ukraine,Turkey,Greece
Armenia,"Qele, Qele",Sirusho,Final,2008,199.0,5,4,Belgrade ,Spain,Croatia,Serbia,France,Ukraine,Israel,Norway,Greece,Georgia,Russia
Azerbaijan,Day After Day,Elnur & Samir,Final,2008,132.0,20,8,Belgrade ,Albania,Serbia,Bosnia & Herzegovina,Georgia,Norway,Greece,Israel,Russia,Ukraine,Turkey
Bosnia & Herzegovina,Pokušaj,Laka,Final,2008,110.0,6,10,Belgrade ,Albania,Norway,Ukraine,Russia,Israel,Armenia,Greece,Turkey,Croatia,Serbia
Croatia,Romanca,Kraljevi Ulice & 75 Cents,Final,2008,44.0,9,21,Belgrade ,Norway,Israel,Portugal,Latvia,Greece,Russia,Ukraine,Albania,Serbia,Bosnia & Herzegovina
Denmark,All Night Long,Simon Mathew,Final,2008,60.0,16,15,Belgrade ,Spain,Bosnia & Herzegovina,Greece,Turkey,France,Latvia,Ukraine,Sweden,Norway,Iceland
Finland,Missä Miehet Ratsastaa,Teräsbetoni,Final,2008,35.0,8,22,Belgrade ,Spain,France,Ukraine,Turkey,Sweden,Bosnia & Herzegovina,Iceland,Israel,Russia,Norway
France,Divine,Sébastien Tellier,Final,2008,47.0,19,19,Belgrade ,Russia,Bosnia & Herzegovina,Greece,Romania,Spain,Israel,Serbia,Portugal,Turkey,Armenia
Georgia,Peace Will Come,Diana Gurtskaya,Final,2008,83.0,17,11,Belgrade ,Croatia,Latvia,Israel,Greece,Norway,Turkey,Azerbaijan,Russia,Ukraine,Armenia
Germany,Disappear,No Angels,Final,2008,14.0,4,23,Belgrade ,Azerbaijan,Croatia,Israel,Portugal,Bosnia & Herzegovina,Armenia,Russia,Serbia,Turkey,Greece
Greece,Secret Combination,Kalomira,Final,2008,218.0,21,3,Belgrade ,Israel,Norway,Azerbaijan,Georgia,Serbia,Ukraine,Russia,Spain,Albania,Armenia
Iceland,This Is My Life,Euroband,Final,2008,64.0,11,14,Belgrade ,Armenia,Serbia,Sweden,Latvia,Ukraine,Portugal,Finland,France,Norway,Denmark
Israel,The Fire In Your Eyes,Boaz,Final,2008,124.0,7,9,Belgrade ,Sweden,Georgia,Azerbaijan,Iceland,Greece,Romania,Norway,Armenia,Ukraine,Russia
Latvia,Wolves Of The Sea,Pirates Of The Sea,Final,2008,83.0,14,12,Belgrade ,Finland,Iceland,France,Azerbaijan,Croatia,Norway,Denmark,Georgia,Ukraine,Russia
Norway,Hold On Be Strong,Maria,Final,2008,182.0,25,5,Belgrade ,France,Turkey,Israel,Finland,Russia,Serbia,Sweden,Iceland,Bosnia & Herzegovina,Denmark
Poland,For Life,Isis Gee,Final,2008,14.0,10,24,Belgrade ,France,Finland,Greece,Serbia,Israel,Russia,Azerbaijan,Norway,Ukraine,Armenia
